state,district,year,nitrate
Uttar Pradesh,Auraiya,2001,24.6
Uttar Pradesh,Auraiya,2002,104.2
Uttar Pradesh,Auraiya,2003,35.836666
Uttar Pradesh,Auraiya,2004,24.200001
Uttar Pradesh,Auraiya,2005,88.0
Uttar Pradesh,Auraiya,2006,35.836666
Uttar Pradesh,Auraiya,2007,35.836666
Uttar Pradesh,Auraiya,2008,35.836666
Uttar Pradesh,Auraiya,2009,35.836666
Uttar Pradesh,Auraiya,2010,35.836666
Uttar Pradesh,Auraiya,2011,35.836666
Uttar Pradesh,Auraiya,2012,35.836666
Uttar Pradesh,Auraiya,2013,35.836666
Uttar Pradesh,Auraiya,2014,35.836666
Uttar Pradesh,Auraiya,2015,35.836666
Uttar Pradesh,Auraiya,2016,5.2183332
Uttar Pradesh,Auraiya,2017,35.836666
Uttar Pradesh,Auraiya,2018,57.075001
Bihar,Aurangabad,2000,33.083332
Maharashtra,Aurangabad,2001,184.72728
Maharashtra,Aurangabad,2002,108.22222
Maharashtra,Aurangabad,2003,35.836666
Maharashtra,Aurangabad,2004,57.0
Bihar,Aurangabad,2005,118.39533
Maharashtra,Aurangabad,2006,97.083336
Maharashtra,Aurangabad,2007,224.0
Maharashtra,Aurangabad,2008,82.699997
Bihar,Aurangabad,2009,171.0
Bihar,Aurangabad,2010,124.23077
Bihar,Aurangabad,2011,214.39999
Maharashtra,Aurangabad,2012,160.58333
Maharashtra,Aurangabad,2013,25.270588
Maharashtra,Aurangabad,2014,49.414288
Maharashtra,Aurangabad,2015,30.666666
Bihar,Aurangabad,2016,22.841305
Maharashtra,Aurangabad,2017,121.85
Maharashtra,Aurangabad,2018,35.76923
Uttar Pradesh,Ayodhya,2000,7.5
Uttar Pradesh,Ayodhya,2001,9.1999998
Uttar Pradesh,Ayodhya,2002,0.495
Uttar Pradesh,Ayodhya,2003,35.836666
Uttar Pradesh,Ayodhya,2004,17.0
Uttar Pradesh,Ayodhya,2005,35.836666
Uttar Pradesh,Ayodhya,2006,35.836666
Uttar Pradesh,Ayodhya,2007,35.836666
Uttar Pradesh,Ayodhya,2008,35.836666
Uttar Pradesh,Ayodhya,2009,35.836666
Uttar Pradesh,Ayodhya,2010,35.836666
Uttar Pradesh,Ayodhya,2011,35.836666
Uttar Pradesh,Ayodhya,2012,35.836666
Uttar Pradesh,Ayodhya,2013,35.836666
Uttar Pradesh,Ayodhya,2014,35.836666
Uttar Pradesh,Ayodhya,2015,35.836666
Uttar Pradesh,Ayodhya,2016,12.638
Uttar Pradesh,Ayodhya,2017,35.836666
Uttar Pradesh,Ayodhya,2018,1.8333334
Uttar Pradesh,Azamgarh,2000,2.0
Uttar Pradesh,Azamgarh,2001,9.79
Uttar Pradesh,Azamgarh,2002,25.318001
Uttar Pradesh,Azamgarh,2003,35.836666
Uttar Pradesh,Azamgarh,2004,7.8000002
Uttar Pradesh,Azamgarh,2005,6.3375001
Uttar Pradesh,Azamgarh,2006,35.836666
Uttar Pradesh,Azamgarh,2007,35.836666
Uttar Pradesh,Azamgarh,2008,35.836666
Uttar Pradesh,Azamgarh,2009,35.836666
Uttar Pradesh,Azamgarh,2010,35.836666
Uttar Pradesh,Azamgarh,2011,35.836666
Uttar Pradesh,Azamgarh,2012,35.836666
Uttar Pradesh,Azamgarh,2013,35.836666
Uttar Pradesh,Azamgarh,2014,35.836666
Uttar Pradesh,Azamgarh,2015,35.836666
Uttar Pradesh,Azamgarh,2016,11.425
Uttar Pradesh,Azamgarh,2017,35.836666
Uttar Pradesh,Azamgarh,2018,20.5
Karnataka,Bagalkote,2000,35.836666
Karnataka,Bagalkote,2001,35.836666
Karnataka,Bagalkote,2002,175.43124
Karnataka,Bagalkote,2003,127.57143
